guest,attend,cupcakes
Quan,Likely,1
Joel,Maybe,3
Tiffany,Highly unlikely,1
Mike,Highly likely,2
Arman,Highly likely,3
Varada,Maybe,4
Florencia,Likely,1
Lucy,Unlikely,0
Lee,Highly unlikely,2
Tim,Highly likely,0
Mark,Highly likely,1
Simar,Highly likely,2
Olivia,Highly likely,0
Simone,Maybe,4
Venessa,Highly unlikely,1
Sang,Unlikely,2
Ali,Likely,1
Georg,Likely,0
Kaile,Highly likely,3
Meredith,Unlikely,3
Greg,Unlikely,4
Claire,Maybe,6
Ramin,Maybe,0
Rodolfo,Likely,1
Meg,Highly likely,3
Kate,Maybe,2
Nathan,Highly likely,0
Hee,Likely,0
Vincenzo,Maybe,1
Ashley,Maybe,2
Tomas,Unlikely,1
Zev,Likely,1
Kristen,Likely,3
Laura,Highly likely,1
Firas,Highly likely,2
Tomas,Unlikely,3
Giulio,Highly unlikely,1
Craig,Highly unlikely,0
Gabriela,Likely,0
Jasmin,Highly likely,1
